"Startup Name","Industry","Funding Rounds","Investment Amount (USD)","Valuation (USD)","Number of Investors","Country","Year Founded","Growth Rate (%)"
"Startup_1","Blockchain","8","1335165853.1","6621448041.8245","50","Germany","2012","77.1"
"Startup_2","SaaS","2","2781498219.93","8363214103.8897","36","UK","2006","105.52"
"Startup_3","EdTech","10","3309031930.22","15482697353.099","39","Singapore","2016","190.47"
"Startup_4","Fintech","5","4050196269.12","12682527892.175","44","France","2021","9.44"
"Startup_5","EdTech","9","1645080294.64","6887965942.8652","48","India","2011","192"
"Startup_6","EdTech","3","3939088574.84","11462969525.297","38","Singapore","2003","26.28"
"Startup_7","HealthTech","8","1349245127.85","2490393546.1733","24","India","2017","104.98"
"Startup_8","Blockchain","7","4128951425.92","16303568856.292","24","India","2006","89.13"
"Startup_9","Blockchain","3","3950045010.91","9733266248.9973","5","Brazil","2007","57.99"
"Startup_10","Fintech","10","4865378632.8","18692791832.253","31","USA","2000","31.16"
"Startup_11","HealthTech","7","2797198504.14","13826645051.845","17","UK","2019","33.69"
"Startup_12","E-commerce","2","1726597437.89","7608269223.7852","19","Canada","2021","199"
"Startup_13","HealthTech","5","1818562344.1","4835268340.0673","14","China","2000","105.73"
"Startup_14","E-commerce","7","1095961480.41","3965453491.2793","44","Australia","2016","31.95"
"Startup_15","Blockchain","3","4195481545.25","13491122379.384","24","India","2009","99.34"
"Startup_16","EdTech","6","3098366688.83","7743384208.7698","32","UK","2008","142.01"
"Startup_17","SaaS","2","2545210318.74","11381431784.364","46","Australia","2010","164.5"
"Startup_18","Biotech","4","2695914069.44","11492050840.251","29","Brazil","2013","25.17"
"Startup_19","E-commerce","9","3434765565.55","10200304017.188","28","Singapore","2021","93.38"
"Startup_20","SaaS","1","567429029.03","2805347516.8289","50","UK","2016","115.76"
"Startup_21","Blockchain","7","3427058576.36","12358527827.868","35","Brazil","2001","46.26"
"Startup_22","SaaS","4","3465387849.44","5927235280.1882","45","Singapore","2021","107.46"
"Startup_23","EdTech","9","4566754284.14","7545805565.3193","7","Singapore","2014","69.76"
"Startup_24","AI","4","3021729517.51","5211428908.0236","2","USA","2014","114.99"
"Startup_25","E-commerce","8","288205121.58","1415080231.453","22","Germany","2021","176.28"
"Startup_26","E-commerce","10","3334508349.99","5015410780.9124","1","Brazil","2017","154.84"
"Startup_27","Biotech","2","4166499162.52","16357699018.24","22","Germany","2002","82.81"
"Startup_28","EdTech","5","440011615.23","1565465840.3469","9","China","2013","146.55"
"Startup_29","E-commerce","3","3256022294.9","8096886148.4485","48","USA","2010","99.75"
"Startup_30","SaaS","5","3026419469.15","6802919454.4977","13","Brazil","2005","47.37"
"Startup_31","AI","9","4705042824.65","17203808326.963","35","Germany","2002","87.95"
"Startup_32","E-commerce","1","4294449811.39","20891484639.412","8","China","2019","91.51"
"Startup_33","AI","7","2867170174.15","6499884835.9411","27","Germany","2019","83.3"
"Startup_34","EdTech","9","4374659519.73","6662238862.9255","2","France","2016","196.58"
"Startup_35","Blockchain","6","3777513647.39","15234607026.317","12","Australia","2003","186.59"
"Startup_36","Blockchain","3","3647514987.49","5586375044.6283","18","Australia","2014","13.16"
"Startup_37","AI","10","4411234804.76","11691080168.103","50","Canada","2011","147.11"
"Startup_38","Fintech","6","2725867165.62","4089854368.7747","19","USA","2022","187.72"
"Startup_39","HealthTech","5","4790851851.76","22981467971.674","20","USA","2001","33.71"
"Startup_40","AI","1","2751786274.72","8856652982.2912","14","India","2005","97.9"
"Startup_41","AI","5","3972168775.93","18893051079.681","49","Canada","2016","104.99"
"Startup_42","EdTech","9","1036222596.89","3964715622.1792","25","Australia","2016","110.52"
