Growth Rate (%),Valuation (USD),Investment_Risk,Investor_Concentration,ROI,Growth_Efficiency,Value_Creation,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Number of Investors,Country,Year Founded,cluster,risk_return
77.1,6621448041.8245,0.2016425779778682,0.0040328515595573,3.959270061057032,5.7745634986835936e-08,0.0991854012211406,Startup_1,Blockchain,8,1335165853.1,50,Germany,2012,0,Low risk low return
105.52,8363214103.8897,0.3325872308633513,0.0092385341906486,2.006729986007387,3.7936389548599296e-08,0.083520277389094,Startup_2,SaaS,2,2781498219.93,36,UK,2006,0,Low risk low return
190.47,15482697353.099,0.2137245116115163,0.0054801156823465,3.678920505934689,5.7560641304339636e-08,0.119972320664992,Startup_3,EdTech,10,3309031930.22,39,Singapore,2016,0,Low risk low return
9.439999999999998,12682527892.175,0.3193524432632182,0.007258010074164,2.131336619133911,2.3307512458034683e-09,0.0711667413439525,Startup_4,Fintech,5,4050196269.12,44,France,2021,0,Low risk low return
192.0,6887965942.8652,0.2388339762835257,0.0049757078392401,3.187008965645973,1.1671162837800339e-07,0.0872293534509577,Startup_5,EdTech,9,1645080294.64,48,India,2011,0,Low risk low return
26.28,11462969525.297,0.3436359632769712,0.0090430516651834,1.9100563004635176,6.67159407581167e-09,0.0765804289595662,Startup_6,EdTech,3,3939088574.84,38,Singapore,2003,0,Low risk low return
104.98,2490393546.1733,0.5417798845179426,0.0225741618549142,0.8457680481987,7.780646958294668e-08,0.0769070020082791,Startup_7,HealthTech,8,1349245127.85,24,India,2017,0,Low risk low return
89.13,16303568856.292,0.2532544538140509,0.0105522689089187,2.9485978822478613,2.1586594465722087e-08,0.1645249117603275,Startup_8,Blockchain,7,4128951425.92,24,India,2006,0,Low risk low return
57.99,9733266248.9973,0.4058293392844283,0.0811658678568856,1.464089959004031,1.4680845367541884e-08,0.4928179918008062,Startup_9,Blockchain,3,3950045010.91,5,Brazil,2007,0,Low risk low return
31.16,18692791832.253,0.2602810043818686,0.0083961614316731,2.842001464435954,6.4044347525050845e-09,0.1239355311108372,Startup_10,Fintech,10,4865378632.8,31,USA,2000,0,Low risk low return
33.69,13826645051.845,0.2023049332395169,0.0119002901905598,3.9430331924533935,1.2044193485066232e-08,0.2907666583796113,Startup_11,HealthTech,7,2797198504.14,17,UK,2019,0,Low risk low return
199.0,7608269223.7852,0.2269369533470581,0.0119440501761609,3.406510201406841,1.152555862953146e-07,0.2319215895477284,Startup_12,E-commerce,2,1726597437.89,19,Canada,2021,0,Low risk low return
105.73,4835268340.0673,0.3761037063921644,0.0268645504565831,1.6588411201598134,5.8139332062506454e-08,0.1899172228685581,Startup_13,HealthTech,5,1818562344.1,14,China,2000,0,Low risk low return
31.950000000000003,3965453491.2793,0.2763773381330039,0.0062813031393864,2.6182416646576123,2.9152484435901413e-08,0.0822327651058548,Startup_14,E-commerce,7,1095961480.41,44,Australia,2016,0,Low risk low return
99.34,13491122379.384,0.3109809122820783,0.0129575380117532,2.215631443941936,2.367785412200652e-08,0.1339846434975806,Startup_15,Blockchain,3,4195481545.25,24,India,2009,0,Low risk low return
142.01,7743384208.7698,0.4001308220404371,0.0125040881887636,1.4991826295724358,4.583382609681541e-08,0.0780994571741386,Startup_16,EdTech,6,3098366688.83,32,UK,2008,0,Low risk low return
164.5,11381431784.364,0.2236283067862034,0.0048614849301348,3.4717058156507674,6.463120111874893e-08,0.0972109959924079,Startup_17,SaaS,2,2545210318.74,46,Australia,2010,0,Low risk low return
25.17,11492050840.251,0.234589465963511,0.0080892919297762,3.262766002270298,9.33635099327493e-09,0.1469919311127689,Startup_18,Biotech,4,2695914069.44,29,Brazil,2013,0,Low risk low return
93.38,10200304017.188,0.3367316856205713,0.0120261316293061,1.9697235000533877,2.7186717177027275e-08,0.1060615535733352,Startup_19,E-commerce,9,3434765565.55,28,Singapore,2021,0,Low risk low return
115.76,2805347516.8289003,0.2022669297212092,0.0040453385944241,3.943961928815209,2.040078918730818e-07,0.0988792385763041,Startup_20,SaaS,1,567429029.03,50,UK,2016,0,Low risk low return
46.26,12358527827.868,0.277303140316771,0.0079229468661934,2.606161830182205,1.3498456174371661e-08,0.103033195148063,Startup_21,Blockchain,7,3427058576.36,35,Brazil,2001,0,Low risk low return
107.46,5927235280.1882,0.584655018001912,0.0129923337333758,0.7104103603139342,3.1009516010557176e-08,0.0380091191180874,Startup_22,SaaS,4,3465387849.44,45,Singapore,2021,0,Low risk low return
69.76,7545805565.3193,0.6052043409558432,0.0864577629936918,0.6523344799884074,1.5275619326021398e-08,0.2360477828554867,Startup_23,EdTech,9,4566754284.14,7,Singapore,2014,0,Low risk low return
114.99,5211428908.0236,0.5798274467215119,0.2899137233607559,0.7246510244629638,3.80543656649836e-08,0.862325512231482,Startup_24,AI,4,3021729517.51,2,USA,2014,0,Low risk low return
176.28,1415080231.453,0.2036669830968325,0.0092575901407651,3.909976004920517,6.11647700893019e-07,0.2231807274963871,Startup_25,E-commerce,8,288205121.58,22,Germany,2021,0,Low risk low return
154.84,5015410780.9124,0.6648524907830957,0.6648524907830956,0.5040930339632952,4.643563120796035e-08,1.5040930339632954,Startup_26,E-commerce,10,3334508349.99,1,Brazil,2017,0,Low risk low return
82.81,16357699018.24,0.2547118123321658,0.011577809651462,2.926005593709628,1.9875199002779712e-08,0.178454799714074,Startup_27,Biotech,2,4166499162.52,22,Germany,2002,0,Low risk low return
146.55,1565465840.3469,0.2810739167151009,0.0312304351905667,2.5577829906344856,3.3305938963314945e-07,0.3953092211816095,Startup_28,EdTech,5,440011615.23,9,China,2013,0,Low risk low return
99.75,8096886148.4485,0.4021326513926479,0.0083777635706801,1.4867416175653594,3.063553961416089e-08,0.0518071170326116,Startup_29,E-commerce,3,3256022294.9,48,USA,2010,0,Low risk low return
47.37,6802919454.4977,0.4448706896197492,0.0342208222784422,1.2478442013222864,1.5652159419032663e-08,0.1729110924094066,Startup_30,SaaS,5,3026419469.15,13,Brazil,2005,0,Low risk low return
87.95,17203808326.963,0.2734884471641043,0.0078139556332601,2.6564615813550567,1.8692709774972652e-08,0.1044703308958587,Startup_31,AI,9,4705042824.65,35,Germany,2002,0,Low risk low return
91.51,20891484639.412,0.2055598194916447,0.0256949774364555,3.864763952765809,2.1308899630702784e-08,0.6080954940957262,Startup_32,E-commerce,1,4294449811.39,8,China,2019,0,Low risk low return
83.3,6499884835.9411,0.4411109191190571,0.0163374414488539,1.267003505596961,2.905303659720689e-08,0.0839630927998874,Startup_33,AI,7,2867170174.15,27,Germany,2019,0,Low risk low return
196.58,6662238862.9255,0.6566350456262406,0.3283175228131203,0.5229159738897091,4.4936068535942384e-08,0.7614579869448547,Startup_34,EdTech,9,4374659519.73,2,France,2016,0,Low risk low return
186.59,15234607026.317,0.2479560937058986,0.0206630078088248,3.032972067974673,4.939492412659336e-08,0.3360810056645561,Startup_35,Blockchain,6,3777513647.39,12,Australia,2003,0,Low risk low return
13.159999999999997,5586375044.6283,0.6529305602203251,0.0362739200122402,0.531556433294468,3.607935826209162e-09,0.0850864685163593,Startup_36,Blockchain,3,3647514987.49,18,Australia,2014,0,Low risk low return
147.11,11691080168.103,0.3773162737173984,0.0075463254743479,1.6502965009905135,3.3348938905101823e-08,0.0530059300198102,Startup_37,AI,10,4411234804.76,50,Canada,2011,0,Low risk low return
187.72,4089854368.7747,0.6664949212938983,0.0350786800680999,0.5003865266649781,6.886615839818555e-08,0.0789677119297356,Startup_38,Fintech,6,2725867165.62,19,USA,2022,0,Low risk low return
33.71000000000001,22981467971.674,0.2084658759686284,0.0104232937984314,3.796948159278057,7.036326950418237e-09,0.2398474079639028,Startup_39,HealthTech,5,4790851851.76,20,USA,2001,0,Low risk low return
97.9,8856652982.2912,0.3107027316326124,0.0221930522594723,2.218510486681014,3.557689087244304e-08,0.229893606191501,Startup_40,AI,1,2751786274.72,14,India,2005,0,Low risk low return
104.99,18893051079.681,0.2102449603919171,0.004290713477386,3.756356576328404,2.6431404585878604e-08,0.0970685015577225,Startup_41,AI,5,3972168775.93,49,Canada,2016,0,Low risk low return
110.52,3964715622.1792,0.2613611405300342,0.0104544456212013,2.826123493232481,1.0665662023941776e-07,0.1530449397292992,Startup_42,EdTech,9,1036222596.89,25,Australia,2016,0,Low risk low return
167.34,3545351528.3057,0.4622468237199556,0.0121643900978935,1.1633463956603258,1.021095885582898e-07,0.0569301683068506,Startup_43,E-commerce,5,1638827482.93,38,Brazil,2017,0,Low risk low return
153.61,11784319878.46,0.2348804604786166,0.0138164976752127,3.257484841277546,5.549681722948181e-08,0.2504402847810321,Startup_44,SaaS,5,2767906479.48,17,USA,2005,0,Low risk low return
125.65,13041915911.935,0.2668719068810192,0.0088957302293673,2.7471160291361603,3.610091739896085e-08,0.124903867637872,Startup_45,E-commerce,7,3480520968.8,30,France,2010,0,Low risk low return
147.04,7876334439.0498,0.413192137598288,0.0206596068799144,1.420181578992715,4.5181359695795265e-08,0.1210090789496357,Startup_46,AI,5,3254439463.31,20,Australia,2016,0,Low risk low return
48.73,20078014719.068,0.200847305696028,0.0052854554130533,3.9789067198812633,1.2083969847347346e-08,0.1310238610495069,Startup_47,Blockchain,6,4032615160.05,38,France,2000,0,Low risk low return
48.13,2223977127.6259995,0.2137025251637051,0.004361276023749,3.679401889303637,1.0126885305362665e-07,0.0954979977408905,Startup_48,E-commerce,2,475269528.08,49,Germany,2012,0,Low risk low return
122.39,8005010523.6801,0.6118487188819254,0.0382405449301203,0.6343909354380459,2.4988487647396908e-08,0.1021494334648778,Startup_49,Biotech,2,4897855433.55,16,France,2011,0,Low risk low return
12.64,8694160540.9713,0.2276936190401702,0.0569234047600425,3.391866597823181,6.385112574684885e-09,1.097966649455795,Startup_50,HealthTech,10,1979604878.09,4,UK,2013,0,Low risk low return
138.19,5826669173.8594,0.4936187439993145,0.0274232635555174,1.0258549987343852,4.8046816100539443e-08,0.112547499929688,Startup_51,Blockchain,4,2876153119.3,18,Australia,2001,0,Low risk low return
192.74,6758206634.6705,0.3435446717978604,0.0107357709936831,1.9108296011890813,8.301511446172836e-08,0.0909634250371587,Startup_52,Fintech,8,2321745880.25,32,USA,2000,0,Low risk low return
139.82,1229453482.5394,0.549502583192162,0.02113471473816,0.8198276597551466,2.069604966764656e-07,0.069993371529044,Startup_53,Blockchain,10,675587864.57,26,USA,2014,0,Low risk low return
198.29,3251064586.1169,0.3617587978111334,0.0904396994527833,1.764272786316806,1.6859943451737085e-07,0.6910681965792015,Startup_54,E-commerce,3,1176101216.28,4,Australia,2002,0,Low risk low return
71.9,16922409671.521,0.2130180612461203,0.0710060204153734,3.694437617872239,1.9945744800933927e-08,1.5648125392907462,Startup_55,HealthTech,2,3604778899.84,3,Germany,2018,0,Low risk low return
92.66,17347814945.719,0.2784637692536663,0.0556927538507332,2.59113145196656,1.918133444358286e-08,0.7182262903933121,Startup_56,E-commerce,7,4830737938.1,5,Brazil,2020,0,Low risk low return
160.82,9907684658.8289,0.4400941029258994,0.0118944352142134,1.2722413078285997,3.688266832345759e-08,0.0614119272386108,Startup_57,SaaS,1,4360313592.0,37,China,2019,0,Low risk low return
119.37,6102998475.3289,0.3323548476932379,0.0114605119894219,2.008832297589941,5.8850467162201834e-08,0.103752837847929,Startup_58,HealthTech,6,2028361128.74,29,Germany,2009,0,Low risk low return
157.0,11130347512.392,0.2476881543339638,0.0099075261733585,3.03733477965069,5.6948946086314654e-08,0.1614933911860276,Startup_59,AI,2,2756855232.44,25,Australia,2007,0,Low risk low return
57.83,1840836654.7642,0.4456968642364932,0.0143773182011772,1.2436774414221263,7.048526880515751e-08,0.0723766916587782,Startup_60,Fintech,6,820455124.6,31,Australia,2009,0,Low risk low return
107.86,6878102854.7587,0.6452174591325868,0.0293280663242084,0.5498650661815219,2.430444114726801e-08,0.07044841209916,Startup_61,AI,5,4437872047.6,22,Singapore,2013,0,Low risk low return
104.21,3798190442.1464,0.506619056013577,0.0136924069192858,0.9738696918917332,5.415656843046445e-08,0.0533478295105873,Startup_62,SaaS,8,1924235656.36,37,UK,2010,0,Low risk low return
53.86,5665325649.9593,0.4349206429744601,0.0098845600676013,1.2992700304150038,2.185905832951399e-08,0.0522561370548864,Startup_63,Biotech,4,2463967074.34,44,France,2008,0,Low risk low return
58.4,19418366785.326,0.2302350251010022,0.0143896890688126,3.343387803664139,1.3062573724051081e-08,0.2714617377290086,Startup_64,E-commerce,3,4470788164.24,16,USA,2019,0,Low risk low return
25.42,20158491149.735,0.238883666696617,0.0053085259265914,3.1861380220272784,5.2787496707724715e-09,0.0930252893783839,Startup_65,AI,3,4815534280.92,45,China,2008,0,Low risk low return
144.35,1672037254.1104002,0.2188431266471289,0.0104211012689109,3.569483242726825,3.9449175218201524e-07,0.2175944401298488,Startup_66,AI,6,365913860.56,21,India,2017,0,Low risk low return
62.22,4667230455.8847,0.6420637702262264,0.0133763285463797,0.557477693606131,2.0763119158598383e-08,0.0324474519501277,Startup_67,SaaS,6,2996659583.02,48,Brazil,2006,0,Low risk low return
87.42,11066201278.736,0.3353873651134176,0.0223591576742278,1.9816269305846717,2.3554047112134608e-08,0.1987751287056448,Startup_68,AI,3,3711464088.69,15,Canada,2013,0,Low risk low return
187.21,4634153806.2398,0.2002800701651922,0.0095371461983424,3.993008037071256,2.0170695097808337e-07,0.2377622874795836,Startup_69,Biotech,6,928128649.47,21,Australia,2007,0,Low risk low return
107.67,9563072271.6353,0.2722476404536043,0.0143288231817686,2.6731264165737265,4.135548807317176e-08,0.1933224429775645,Startup_70,Blockchain,1,2603523861.44,19,France,2007,0,Low risk low return
59.98,11926210327.427,0.3056186824885853,0.0218299058920418,2.2720512759796656,1.6455993156679605e-08,0.2337179482842618,Startup_71,HealthTech,7,3644872687.35,14,Canada,2010,0,Low risk low return
123.34,1620392801.4187002,0.4595373477764493,0.2297686738882246,1.176101691927049,1.656390860582015e-07,1.0880508459635243,Startup_72,Blockchain,4,744631010.32,2,Singapore,2008,0,Low risk low return
179.18,4537818813.9825,0.2963495108963568,0.0155973426787556,2.3743939612902984,1.3324108669146337e-07,0.1775996821731736,Startup_73,E-commerce,8,1344780386.06,19,Australia,2005,0,Low risk low return
165.57,1354841679.9969006,0.3624172684450654,0.0181208634222532,1.7592504195245826,3.371974000399297e-07,0.1379625209762291,Startup_74,Fintech,3,491018020.84,20,India,2013,0,Low risk low return
144.16,5586959852.4532,0.2833173258234469,0.0177073328639654,2.5296111774793606,9.107435184485905e-08,0.22060069859246,Startup_75,Biotech,1,1582882524.88,16,India,2020,0,Low risk low return
91.33,4630172763.5262,0.2344247346039354,0.0130235963668853,3.265761467916416,8.414199961042158e-08,0.2369867482175786,Startup_76,SaaS,10,1085427021.26,18,Australia,2016,0,Low risk low return
81.98,2357879218.2284,0.5685089435442627,0.0284254471772131,0.7589872795416146,6.115740622421195e-08,0.0879493639770807,Startup_77,Blockchain,7,1340475423.36,20,Singapore,2004,0,Low risk low return
108.11,23772801009.395,0.207822803644699,0.0148444859746213,3.8117914995971,2.1882266999831384e-08,0.3436993928283643,Startup_78,HealthTech,8,4940530156.26,14,India,2021,0,Low risk low return
189.55,5542968257.2878,0.4961057947760173,0.0551228660862241,1.0156990918670514,6.892981253519773e-08,0.2239665657630057,Startup_79,Fintech,8,2749898672.7,9,Germany,2011,0,Low risk low return
69.71,8054285187.1481,0.5629288252599629,0.0255876738754528,0.7764235106244486,1.5374981149565952e-08,0.0807465232102022,Startup_80,E-commerce,8,4533989298.71,22,India,2005,0,Low risk low return
